ID_Item,ID_Modulo_Vinculado,Tipo_Item,Texto_Oficial,Criterios_de_Evaluacion
RA_PEP_1,MOD_PEP,RA,1. Muestra una imagen personal y profesional adecuada en el entorno de trabajo relacionándola con la higiene corporal y la estética personal.,a) Se ha relacionado la imagen personal... b) Se ha identificado el vestuario... c) Se ha adaptado la imagen... d) Se han identificado las posturas... e) Se han descrito las medidas... f) Se han descrito las cualidades... g) Se han identificado las normas...
RA_PEP_2,MOD_PEP,RA,"2. Prepara las instalaciones, aplicando las técnicas de higienización.",a) Se han descrito los conceptos... b) Se han identificado los contaminantes... c) Se han identificado los productos... d) Se han seleccionado los métodos... e) Se ha realizado la limpieza... f) Se han determinado los métodos... g) Se ha valorado la importancia... h) Se ha realizado la recogida... i) Se ha justificado las ventajas... j) Se han aplicado las especificaciones...
RA_CEN_1,MOD_CEN,RA,"1. Prepara equipos, útiles y productos de manicura y pedicura, reconociendo sus características y aplicaciones.",a) Se ha descrito la imagen... b) Se han descrito e identificado los útiles... c) Se han explicado los factores... d) Se han identificado los métodos... e) Se han realizado los procesos... f) Se ha seleccionado de forma adecuada... g) Se han preparado los útiles... h) Se han ordenado los útiles... i) Se han identificado los cosméticos... j) Se han seleccionado adecuadamente... k) Se ha comprobado que los cosméticos... l) Se ha descrito la conservación... m) Se han aplicado las medidas...
RA_MAQ_1,MOD_MAQ,RA,"1. Prepara útiles y productos de maquillaje, reconociendo sus características y aplicaciones.",a) Se han definido y realizado los procesos... b) Se han descrito las posibles alteraciones... c) Se ha realizado la identificación... d) Se ha descrito el uso adecuado... e) Se han preparado los útiles... f) Se han identificado los útiles... g) Se han señalado los usos... h) Se han reconocido las etiquetas... i) Se han aplicado las medidas...
CE_CS1_3,MOD_CS1,CE/RA,"3. Utiliza estrategias comunicativas para interpretar y comunicar información oral en lengua castellana, aplicando los principios de la escucha activa, estrategias sencillas de composición y las normas lingüísticas básicas.",a) Se ha analizado la estructura... b) Se han aplicado las habilidades básicas... c) Se ha realizado un buen uso... d) Se han analizado los usos y niveles... e) Se ha utilizado la terminología gramatical...
CE_CS1_6,MOD_CS1,CE/RA,"6. Utiliza estrategias para comunicar información oral en lengua inglesa, elaborando presentaciones orales de poca extensión, bien estructuradas, relativas a situaciones habituales de comunicación cotidiana y frecuente de ámbito personal o profesional.",a) Se han aplicado las estrategias de escucha... b) Se ha identificado la intención... c) Se ha identificado el sentido global... d) Se han identificado rasgos fonéticos... e) Se han realizado presentaciones orales... f) Se han utilizado estructuras gramaticales... g) Se ha expresado con cierta claridad... h) Se ha mostrado una actitud reflexiva... i) Se han identificado las normas... j) Se han identificado las costumbres...
CE_CA1_1,MOD_CA1,CE/RA,"1. Resuelve problemas matemáticos en situaciones cotidianas, utilizando los elementos básicos del lenguaje matemático y sus operaciones.",a) Se han identificado los distintos tipos... b) Se han realizado cálculos con eficacia... c) Se han utilizado las TIC... d) Se ha operado con potencias... e) Se ha utilizado la notación científica... f) Se han representado los distintos números... g) Se ha caracterizado la proporción... h) Se han comparado magnitudes... i) Se ha utilizado la regla de tres... j) Se ha aplicado el interés simple...
